eval_id,Inlet pipe angle (inlet 1),Inlet pipe diameter (inlet 1),Inlet pipe diameter (inlet 2),SSIM Index - QoI
44,199.0458814,0.874363578,0.728367015,0.931940035
45,130.2337297,1.428768261,0.762498175,0.930303573
46,21.44330163,1.313402311,0.928351537,0.933784325
47,196.7686544,1.227606955,0.550886144,0.913601169
48,32.74801789,0.775206843,1.461871657,0.884404445
49,8.392723869,1.269202299,0.8014247,0.932304258
50,82.47226879,1.128387835,0.655942942,0.955899111
51,184.0517606,0.637592703,0.775206843,0.945647053
52,186.779788,0.850441901,0.637592703,0.938578505
53,94.87374935,0.872496549,0.568520786,0.978484713
54,195.3240495,1.082933267,1.134070554,0.905508542
55,55.1246167,1.281187792,0.663169001,0.933040676
56,9.308256206,1.002430123,0.630905269,0.943924159
57,145.8277224,1.134070554,1.029311442,0.958973076
58,125.5347049,1.349226679,1.128387835,0.966811058
59,193.764663,1.305493873,1.248399209,0.868733721
60,190.4648225,1.170221962,0.507946308,0.920838859
61,71.28031604,0.690078958,1.232436763,0.912109621
62,208.3636751,1.029311442,0.920224652,0.909895496
63,74.73527318,1.48120566,1.382441327,0.948752501
64,128.5398107,0.720224476,0.534815852,0.976188768
65,49.32111846,1.092026823,0.54432503,0.947507536
66,126.9127764,1.430114522,0.864011537,0.959470191
67,22.86942843,1.248399209,1.050127713,0.915729854
68,27.49010642,0.966900307,1.389427562,0.899844176
69,44.84804608,0.617090081,1.092026823,0.928419115
70,169.1537133,0.550886144,0.582457677,0.955002632
71,181.1234465,1.382441327,1.033226811,0.889724919
72,181.8930801,1.202674335,1.376436955,0.898025406
73,86.93821757,0.707710624,1.422688871,0.897467212
74,209.1161946,1.187631424,1.430114522,0.871192009
75,80.42884415,0.960563233,0.984301338,0.9599008
76,198.4845526,0.89272509,1.343006034,0.912060191
77,142.0211734,1.009250684,1.112094337,0.949842333
78,37.43676414,1.185569899,0.617090081,0.946738427
79,26.82118715,0.627719939,1.227606955,0.902705451
80,135.5726401,0.913991512,1.495791403,0.910648984
81,92.35679445,0.745129256,1.009250684,0.944419857
82,85.28441107,0.582457677,1.313402311,0.902913381
83,57.79343709,1.194417726,1.194417726,0.93427934
84,155.2441047,0.630905269,0.564099519,0.959022334
